Section,Content
Verse 1,[]
Verse 2,"['Ben, the two of us need look no more']"
Verse 3,['We both found what we were looking for']
Verse 4,['With a friend to call my own']
Verse 5,"[""I'll never be alone""]"
Verse 6,['And you my friend will see']
Verse 7,"[""You've got a friend in me""]"
Verse 8,"[""(You've got a friend in me)""]"
Verse 9,"[""Ben, you're always running here and there""]"
Verse 10,['(Here and there)']
Verse 11,"[""You feel you're not wanted anywhere""]"
Verse 12,['(Anywhere)']
Verse 13,['If you ever look behind']
Verse 14,"[""And don't like what you find""]"
Verse 15,"[""There's something you should know""]"
Verse 16,"[""You've got a place to go""]"
Verse 17,"[""(You've got a place to go)""]"
Verse 18,"['I used to say ""I"" and ""me""']"
Verse 19,"['Now it\'s ""us"", now it\'s ""we""']"
Verse 20,"['I used to say ""I"" and ""me""']"
Verse 21,"['Now it\'s ""us"", now it\'s ""we""']"
Verse 22,"['Ben, most people would turn you away (Turn you away)']"
Verse 23,"[""I don't listen to a word they say (A word they say)""]"
Verse 24,"[""They don't see you as I do""]"
Verse 25,['I wish they would try to']
Verse 26,"[""I'm sure they'd think again""]"
Verse 27,['If they had a friend like Ben']
Verse 28,['(A friend)']
Verse 29,['Like Ben']
Verse 30,['(Like Ben)']
Verse 31,['Like Ben']
