Section,Content
Verse 1,"['Come on Eileen', 'Come on Eileen', 'Poor old Johnnie Ray', 'Sounded sad upon the radio', 'But he moved a million hearts in mono', 'Our mothers cried', 'Sang along', ""Who'd blame them?"", ""You've grown (you're grown up)"", 'So grown (so grown up).']"
Verse 2,['Come on Eileen']
Verse 3,"['And we can sing just like our fathers', 'Come on Eileen', 'Oh, I swear (what he means)', 'At this moment you mean everything', 'You in that dress', 'My thoughts I confess']"
Verse 4,"['Oh, come on Eileen', 'Come on Eileen', ""These people 'round here"", 'Wear beaten-down eyes sunk in smoke-dried faces', ""They're so resigned to what their fate is"", 'But not us (no, never)', 'No, not us (no, never)', 'We are far too young and clever', 'Remember']"
Verse 5,"[""Eileen I'll hum this tune forever"", 'Come on Eileen', 'Oh, I swear what (what he means)', ""Ah, come on let's take off everything""]"
Verse 6,[]
Verse 7,[]
Verse 8,"['Ah, come on Eileen']"
Verse 9,[]
Verse 10,[]
Verse 11,"['Ah, come on Eileen, please']"
Verse 12,[]
Verse 13,"[""Now you're all grown"", 'Now you have shown', 'Oh, Eileen', 'Say, come on Eileen', 'These things they are real', 'And I know how you feel']"
Verse 14,"[""Things 'round here have changed"", 'I say, too-ra-loo-ra, too-ra-loo-rye-aye', 'Come on Eileen', 'Oh, I swear (what he means)', 'At this moment you mean everything']"
Verse 15,['My thoughts I confess']
Verse 16,"['Ah, come on Eileen', 'Ah, come on Eileen', 'Oh, I swear (what he means)', 'At this moment you mean everything']"
Verse 17,"['My thoughts I confess', ""Well, they're dirty"", 'Come on Eileen', 'Come on Eileen']"
Bridge 1,Now I must say more than ever
Bridge 2,"Too-ra-loo-ra, too-ra-loo-rye, aye"
Bridge 3,Verge on dirty
Bridge 4,"Too-ra-loo-ra, too-ra-loo-rye, aye"
Bridge 5,Pretty red dress
Bridge 6,Eileen (tell him yes)
Bridge 7,"Ah, come on let's"
Bridge 8,Eileen (tell him yes)
Bridge 9,"Ah, come on let's"
Bridge 10,"Ah, come on let's"
Bridge 11,Pretty red dress
Bridge 12,Eileen (tell him yes)
Bridge 13,"Ah, come on let's"
Bridge 14,Eileen (tell him yes)
Bridge 15,"Ah, come on let's"
Bridge 16,"Ah, come on let's"
Bridge 17,"Come on Eileen, too-loo-rye-aye"
Bridge 18,"Come on Eileen, too-loo-rye-aye"
Bridge 19,"Come on Eileen, too-loo-rye-aye"
Bridge 20,Now I must say more than ever
Bridge 21,"You in that dress,"
Bridge 22,Verge on dirty
Bridge 23,"You in that dress,"
Chorus 1,Come on Eileen
Chorus 2,Come on Eileen
Chorus 3,"Oh, I swear (what he means)"
Chorus 4,At this moment you mean everything
Chorus 5,My thoughts I confess
Chorus 6,Come on Eileen
Chorus 7,Come on Eileen
Chorus 8,"Ah, come on Eileen"
Chorus 9,Come on Eileen
Chorus 10,"Oh, I swear (what he means)"
Chorus 11,At this moment you mean everything
Chorus 12,My thoughts I confess
Chorus 13,"Ah, come on Eileen"
Chorus 14,"Ah, come on Eileen"
Chorus 15,"Oh, I swear (what he means)"
Chorus 16,At this moment you mean everything
Chorus 17,My thoughts I confess
Chorus 18,Come on Eileen
Chorus 19,Come on Eileen
Chorus 20,Come on Eileen
Chorus 21,"Oh, I swear (what he means)"
Chorus 22,At this moment you mean everything
Chorus 23,My thoughts I confess
Chorus 24,Come on Eileen
Chorus 25,Come on Eileen
Chorus 26,"Ah, come on Eileen"
Chorus 27,Come on Eileen
Chorus 28,"Oh, I swear (what he means)"
Chorus 29,At this moment you mean everything
Chorus 30,My thoughts I confess
Chorus 31,"Ah, come on Eileen"
Chorus 32,"Ah, come on Eileen"
Chorus 33,"Oh, I swear (what he means)"
Chorus 34,At this moment you mean everything
Chorus 35,My thoughts I confess
Chorus 36,Come on Eileen
Chorus 37,Come on Eileen
Chorus 38,Come on Eileen
Chorus 39,Come on Eileen
Chorus 40,"Ah, come on Eileen"
Chorus 41,Come on Eileen
Chorus 42,"Oh, I swear (what he means)"
Chorus 43,At this moment you mean everything
Chorus 44,My thoughts I confess
Chorus 45,"Ah, come on Eileen"
Chorus 46,"Ah, come on Eileen"
Chorus 47,"Oh, I swear (what he means)"
Chorus 48,At this moment you mean everything
Chorus 49,My thoughts I confess
Chorus 50,Come on Eileen
Chorus 51,Come on Eileen
Chorus 52,Come on Eileen
Chorus 53,"Ah, come on Eileen"
Chorus 54,Come on Eileen
Chorus 55,"Oh, I swear (what he means)"
Chorus 56,At this moment you mean everything
Chorus 57,My thoughts I confess
Chorus 58,"Ah, come on Eileen"
Chorus 59,"Ah, come on Eileen"
Chorus 60,"Oh, I swear (what he means)"
Chorus 61,At this moment you mean everything
Chorus 62,My thoughts I confess
Chorus 63,Come on Eileen
Chorus 64,Come on Eileen
Chorus 65,"Ah, come on Eileen"
Chorus 66,Come on Eileen
Chorus 67,"Oh, I swear (what he means)"
Chorus 68,At this moment you mean everything
Chorus 69,My thoughts I confess
Chorus 70,"Ah, come on Eileen"
Chorus 71,"Ah, come on Eileen"
Chorus 72,"Oh, I swear (what he means)"
Chorus 73,At this moment you mean everything
Chorus 74,My thoughts I confess
Chorus 75,Come on Eileen
Chorus 76,Come on Eileen
Chorus 77,"Ah, come on Eileen"
Chorus 78,Come on Eileen
Chorus 79,"Oh, I swear (what he means)"
Chorus 80,At this moment you mean everything
Chorus 81,My thoughts I confess
Chorus 82,"Ah, come on Eileen"
Chorus 83,"Ah, come on Eileen"
Chorus 84,"Oh, I swear (what he means)"
Chorus 85,At this moment you mean everything
Chorus 86,My thoughts I confess
Chorus 87,Come on Eileen
Chorus 88,Come on Eileen
Chorus 89,"Ah, come on Eileen"
Chorus 90,Come on Eileen
Chorus 91,"Oh, I swear (what he means)"
Chorus 92,At this moment you mean everything
Chorus 93,My thoughts I confess
Chorus 94,"Ah, come on Eileen"
Chorus 95,"Ah, come on Eileen"
Chorus 96,"Oh, I swear (what he means)"
Chorus 97,At this moment you mean everything
Chorus 98,My thoughts I confess
Chorus 99,Come on Eileen
Chorus 100,Come on Eileen
Chorus 101,Come on Eileen
Chorus 102,"Oh, I swear (what he means)"
Chorus 103,At this moment you mean everything
Chorus 104,My thoughts I confess
Chorus 105,"Ah, come on Eileen"
Chorus 106,"Ah, come on Eileen"
Chorus 107,"Oh, I swear (what he means)"
Chorus 108,At this moment you mean everything
Chorus 109,My thoughts I confess
Chorus 110,Come on Eileen
Chorus 111,Come on Eileen
Chorus 112,Come on Eileen
Chorus 113,"Oh, I swear (what he means)"
Chorus 114,At this moment you mean everything
Chorus 115,My thoughts I confess
Chorus 116,"Ah, come on Eileen"
Chorus 117,"Ah, come on Eileen"
Chorus 118,"Oh, I swear (what he means)"
Chorus 119,At this moment you mean everything
Chorus 120,My thoughts I confess
Chorus 121,Come on Eileen
Chorus 122,Come on Eileen
Chorus 123,Come on Eileen
Chorus 124,"Oh, I swear (what he means)"
Chorus 125,At this moment you mean everything
Chorus 126,My thoughts I confess
Chorus 127,"Ah, come on Eileen"
Chorus 128,"Ah, come on Eileen"
Chorus 129,"Oh, I swear (what he means)"
Chorus 130,At this moment you mean everything
Chorus 131,My thoughts I confess
Chorus 132,Come on Eileen
Chorus 133,Come on Eileen
Chorus 134,Come on Eileen
Chorus 135,"Oh, I swear (what he means)"
Chorus 136,At this moment you mean everything
Chorus 137,My thoughts I confess
Chorus 138,"Ah, come on Eileen"
Chorus 139,"Ah, come on Eileen"
Chorus 140,"Oh, I swear (what he means)"
Chorus 141,At this moment you mean everything
Chorus 142,My thoughts I confess
Chorus 143,Come on Eileen
Chorus 144,Come on Eileen
Chorus 145,Come on Eileen
Chorus 146,"Oh, I swear (what he means)"
Chorus 147,At this moment you mean everything
Chorus 148,My thoughts I confess
Chorus 149,"Ah, come on Eileen"
Chorus 150,"Ah, come on Eileen"
Chorus 151,"Oh, I swear (what he means)"
Chorus 152,At this moment you mean everything
Chorus 153,My thoughts I confess
Chorus 154,Come on Eileen
Chorus 155,Come on Eileen
Chorus 156,Come on Eileen
Chorus 157,"Oh, I swear (what he means)"
Chorus 158,At this moment you mean everything
Chorus 159,My thoughts I confess
Chorus 160,"Ah, come on Eileen"
Chorus 161,"Ah, come on Eileen"
Chorus 162,"Oh, I swear (what he means)"
Chorus 163,At this moment you mean everything
Chorus 164,My thoughts I confess
Chorus 165,Come on Eileen
Chorus 166,Come on Eileen
Chorus 167,My thoughts I confess
Chorus 168,"Ah, come on Eileen"
Chorus 169,"Ah, come on Eileen"
Chorus 170,"Oh, I swear (what he means)"
Chorus 171,At this moment you mean everything
Chorus 172,My thoughts I confess
Chorus 173,Come on Eileen
Chorus 174,Come on Eileen
Chorus 175,"Ah, come on Eileen"
Chorus 176,"Ah, come on Eileen"
Chorus 177,"Oh, I swear (what he means)"
Chorus 178,At this moment you mean everything
Chorus 179,My thoughts I confess
Chorus 180,Come on Eileen
Chorus 181,Come on Eileen
Chorus 182,My thoughts I confess
Chorus 183,Come on Eileen
Chorus 184,Come on Eileen
