Section,Content
Verse 1,[]
Verse 2,['I grew up south of the Mason Dixon']
Verse 3,"[""Workin' spittin' huntin' and fishin'""]"
Verse 4,['Stone cold country by the grace of God']
Verse 5,"[""I was gasin' up the other day""]"
Verse 6,"[""And an ol' boy pulled up with a license plate""]"
Verse 7,"[""From Ohio I thought oh good lord he's lost""]"
Verse 8,['From his wranglers to his boots']
Verse 9,['He reminded me of Chris LeDoux']
Verse 10,['Country must be country wide']
Verse 11,"[""It ain't where""]"
Verse 12,"[""It's how you live""]"
Verse 13,"[""We weren't raised to take""]"
Verse 14,['We were raised to give']
Verse 15,['The shirt off our back']
Verse 16,['To anyone in need']
Verse 17,['We bow our heads before we eat']
Verse 18,['Before we start our day']
Verse 19,['Before we fall asleep']
Verse 20,"[""'Cause in God we trust and we believe""]"
Verse 21,"[""And we see what's wrong""]"
Verse 22,"[""And we know what's right""]"
Verse 23,"[""And ol' Hank he said it all""]"
Verse 24,['Country must be country wide']
Chorus 1,Country must be country wide
Chorus 2,In every state
Chorus 3,There's a station
Chorus 4,"Playin' Cash, Hank, Willie, and Waylon"
Chorus 5,In foreign cars and four wheel drives
Chorus 6,There's cowboys and hillbillies
Chorus 7,From farm towns to big cities
Chorus 8,There ain't no doubt in my mind
Chorus 9,Country must be country wide
Chorus 10,In every state
Chorus 11,There's a station
Chorus 12,"Playin' Cash, Hank, Willie, and Waylon"
Chorus 13,In foreign cars and four wheel drives
Chorus 14,There's cowboys and hillbillies
Chorus 15,From farm towns to big cities
Chorus 16,There ain't no doubt in my mind
Chorus 17,Country must be country wide
Chorus 18,In every state
Chorus 19,There's a station
Chorus 20,"Playin' Cash, Hank, Willie, and Waylon"
Chorus 21,In foreign cars and four wheel drives
Chorus 22,There's cowboys and hillbillies
Chorus 23,From farm towns to big cities
Chorus 24,There ain't no doubt in my mind
Chorus 25,Country must be country wide
Chorus 26,There ain't no doubt in my mind
Chorus 27,Country must be country wide
