Section,Content
Verse 1,[]
Verse 2,['If I had to']
Verse 3,['I would put myself right beside you']
Verse 4,['Would you like that?']
Verse 5,"[""And I don't mind""]"
Verse 6,['If you say this love is the last time']
Verse 7,['Do you like that?']
Verse 8,[]
Verse 9,['Try to find out what makes you tick.']
Verse 10,['As I lie down']
Verse 11,['Do you like that?']
Verse 12,"[""There's a fine line between love and hate.""]"
Verse 13,"[""And I don't mind.""]"
Verse 14,['So tell me how it should be.']
Verse 15,"['Desperate, I will crawl']"
Verse 16,['Waiting for so long']
Verse 17,"['No love, there is no love.']"
Verse 18,['Die for anyone']
Verse 19,['I still try to find my place in the diary of Jane.']
Pre-or-Post-Chorus 1,Would you like that?
Pre-or-Post-Chorus 2,So tell me how it should be.
Pre-or-Post-Chorus 3,I like that
Pre-or-Post-Chorus 4,"As I burn another page,"
Pre-or-Post-Chorus 5,As I look the other way.
Pre-or-Post-Chorus 6,I still try to find my place in the diary of Jane.
Chorus 1,Do you like that?
Chorus 2,Do you like that?
Chorus 3,Something's getting in the way.
Chorus 4,Something's just about to break.
Chorus 5,I will try to find my place in the diary of Jane.
Chorus 6,Do you like that?
Chorus 7,Do you like that?
Chorus 8,Something's getting in the way.
Chorus 9,Something's just about to break.
Chorus 10,I will try to find my place in the diary of Jane.
Chorus 11,Something's getting in the way.
Chorus 12,Something's just about to break.
Chorus 13,I will try to find my place in the diary of Jane.
