Section,Content
Verse 1,[]
Verse 2,"[""Poverty's paradise""]"
Verse 3,[]
Verse 4,"[""What's up, family?""]"
Verse 5,"[""Yeah, it's your cousin Carl, man, just givin' you a call, man""]"
Verse 6,"[""I know you been havin' a lot on yo' mind lately""]"
Verse 7,"['And I know you feel like, you know']"
Verse 8,"[""People ain't been prayin' for you""]"
Verse 9,"['But you have to understand this, man, that we are a cursed people']"
Verse 10,"['Deuteronomy 28:28 says, ""The Lord shall smite thee with madness And blindness, and astonishment of heart""']"
Verse 11,"[""See, family, that's why you feel like you feel""]"
Verse 12,['Like you got a chip on your shoulder']
Verse 13,"['Until you follow His commandments, you gonna feel that way']"
Verse 14,"[""Every stone thrown at you restin' at my feet""]"
Verse 15,[]
Verse 16,"[""I don't think I could find a way to make it on this earth""]"
Verse 17,"[""Every stone thrown at you restin' at my feet""]"
Verse 18,"[""Earth is no more, won't you burn this muh'fucka?""]"
Verse 19,['Every stone thrown at you resting at my feet']
Verse 20,"[""I beat yo' ass, keep talkin' back""]"
Verse 21,"[""I beat yo' ass, who bought you that?""]"
Verse 22,"[""You stole it, I beat yo' ass if you say that game is broken""]"
Verse 23,"[""I beat yo' ass if you jump on my couch""]"
Verse 24,"[""I beat yo' ass if you walk in this house""]"
Verse 25,"[""With tears in your eyes, runnin' from Poo Poo and Prentice""]"
Verse 26,"[""Go back outside, I beat yo' ass, lil' nigga""]"
Verse 27,"[""That homework better be finished, I beat yo' ass""]"
Verse 28,"[""Your teachers better not be bitchin' 'bout you in class""]"
Verse 29,"['That pizza better not be wasted, you eat it all']"
Verse 30,['That TV better not be loud if you got it on']
Verse 31,"[""Them Jordans better not get dirty when I just bought 'em""]"
Verse 32,"[""Better not hear 'bout you humpin' on Keisha's daughter""]"
Verse 33,['Better not hear you got caught up']
Verse 34,"[""I beat yo' ass, you better not run to your father""]"
Verse 35,"[""I beat yo' ass, you know my patience runnin' thin""]"
Verse 36,['I got buku payments to make']
Verse 37,"[""County building's on my ass, tryna take my food stamps away""]"
Verse 38,"[""I beat yo' ass if you tell them social workers he live here""]"
Verse 39,"[""I beat yo' ass if I beat yo' ass twice and you still here""]"
Verse 40,"['Seven years old, think you run this house by yourself?']"
Verse 41,"[""And then I'd take two puffs""]"
Verse 42,"[""I'm high now (Huh), I'm high now (Huh)""]"
Verse 43,['(Pull them panties to the side now)']
Verse 44,"[""I don't think I could find a way to make it on this earth""]"
Verse 45,"[""I'll prolly die anonymous, I'll prolly die with promises""]"
Verse 46,"[""I'll prolly die walkin' back home from the candy house""]"
Verse 47,"[""I'll prolly die because these colors are standin' out""]"
Verse 48,"[""I'll prolly die because I ain't know Demarcus was snitchin'""]"
Verse 49,"[""I'll prolly die at these house parties, fuckin' with bitches""]"
Verse 50,"[""I'll prolly die from witnesses leavin' me false-accused""]"
Verse 51,"[""I'll prolly die from thinkin' that me and your hood was cool""]"
Verse 52,"[""Or maybe die from pressin' the line, actin' too extra""]"
Verse 53,['Or maybe die because these smokers are more than desperate']
Verse 54,"[""I'll prolly die from one of these bats and blue badges""]"
Verse 55,"[""Body-slammed on black and white paint, my bones snappin'""]"
Verse 56,"[""Or maybe die from panic or die from bein' too lax""]"
Verse 57,"[""Or die from waitin' on it, die 'cause I'm movin' too fast""]"
Verse 58,"[""I'll prolly die tryna buy weed at the apartments""]"
Verse 59,"[""I'll prolly die tryna diffuse two homies arguin'""]"
Verse 60,"[""I'll prolly die 'cause that's what you do when you're 17""]"
Verse 61,"[""(I've been hungry all my life)""]"
Verse 62,"[""I'm high now (Huh), I'm high now (Huh)""]"
Verse 63,['(Pull them panties to the side now)']
Verse 64,['Now']
Verse 65,"['When I was 27, I grew accustomed to more fear']"
Verse 66,['Accumulated 10 times over throughout the years']
Verse 67,['My newfound life made all of me magnified']
Verse 68,['How many accolades do I need to block denial?']
Verse 69,['The shock value of my success put bolts in me']
Verse 70,"[""All this money, is God playin' a joke on me?""]"
Verse 71,"['Is it for the moment, and will he see me as Job?']"
Verse 72,['Take it from me and leave me worse than I was before?']
Verse 73,"[""At 27, my biggest fear was losin' it all""]"
Verse 74,"[""Scared to spend money, had me sleepin' from hall to hall""]"
Verse 75,"[""Scared to go back to Section 8 with my mama stressin'""]"
Verse 76,"[""30 shows a month and I still won't buy me no Lexus""]"
Verse 77,"[""What is an advisor? Somebody that's holdin' my checks""]"
Verse 78,['Just to fuck me over and put my finances in debt?']
Verse 79,"[""I read a case about Rihanna's accountant and wondered""]"
Verse 80,['How did the Bad Girl feel when she looked at them numbers?']
Verse 81,"[""The type of shit'll make me flip out and just kill somethin'""]"
Verse 82,"[""Drill somethin', get ill and fill ratchets with a lil' somethin'""]"
Verse 83,"[""I practiced runnin' from fear, guess I had some good luck""]"
Verse 84,"[""At 27 years old, my biggest fear was bein' judged""]"
Verse 85,"['How they look at me reflect on myself, my family, my city']"
Verse 86,"[""What they say 'bout me reveal if my reputation would miss me""]"
Verse 87,['What they see from me would trickle down generations in time']
Verse 88,"[""What they hear from me would make 'em highlight my simplest lines""]"
Verse 89,"[""I'm talkin' fear, fear of losin' creativity""]"
Verse 90,"[""I'm talkin' fear, fear of missin' out on you and me""]"
Verse 91,"[""I'm talkin' fear, fear of losin' loyalty from pride""]"
Verse 92,"[""'Cause my DNA won't let me involve in the light of God""]"
Verse 93,"[""I'm talkin' fear, fear that my humbleness is gone""]"
Verse 94,"[""I'm talkin' fear, fear that love ain't livin' here no more""]"
Verse 95,"[""I'm talkin' fear, fear that it's wickedness or weakness""]"
Verse 96,[]
Verse 97,[]
Verse 98,"['Fear, what happens on Earth stays on Earth']"
Verse 99,"['Within fourteen tracks, carried out over wax']"
Verse 100,"[""Wonderin' if I'm livin' through fear or livin' through rap""]"
Verse 101,['Damn']
Verse 102,"['God damn you, God damn me']"
Verse 103,"['God damn us, God damn we']"
Verse 104,['God damn us all']
Verse 105,"['Verse 2 says, ""You only have I known of all the families of the Earth, therefore I will punish you for all your iniquities""']"
Verse 106,['So until we come back to these commandments']
Verse 107,['Until you come back to these commandments']
Verse 108,"[""We're gonna feel this way, we're gonna be under this curse""]"
Verse 109,"[""Because He said He's gonna punish us""]"
Verse 110,"['The so-called blacks, Hispanics, and Native American Indians']"
Verse 111,['Are the true children of Israel']
Verse 112,"['We are the Israelites, according to the Bible']"
Verse 113,['The children of Israel']
Verse 114,"[""He's gonna punish us for our iniquities, for our disobedience""]"
Verse 115,['Because we chose to follow other gods']
Verse 116,"['That man chastens his son, so the Lord, thy God, chasten thee']"
Verse 117,"[""So, just like you chasten your own son, He's gonna chasten you""]"
Verse 118,"[""Because He loves you, so that's why we get chastised""]"
Verse 119,"[""That's why we're in the position that we're in""]"
Verse 120,"['Until we come back to these laws, statutes, and commandments']"
Verse 121,"['And do what the Lord says, these curses are gonna be upon us']"
Verse 122,"[""We're gonna be at a lower state in this life that we live""]"
Verse 123,"['Here, in today, in the United States of America']"
Verse 124,"['I love you, family, and I pray for you']"
Verse 125,['God bless you']
Verse 126,['Shalom']
Pre-or-Post-Chorus 1,(I've been hungry all my life)
Pre-or-Post-Chorus 2,Pain in my heart carry burdens full of struggle
Pre-or-Post-Chorus 3,"Why God, why God do I gotta bleed?"
Pre-or-Post-Chorus 4,Every stone thrown at you restin' at my feet
Pre-or-Post-Chorus 5,"Earth is no more, won't you burn this muh'fucka?"
Pre-or-Post-Chorus 6,"If I could smoke fear away, I'd roll that motherfucker up"
Pre-or-Post-Chorus 7,And then I'd take two puffs
Pre-or-Post-Chorus 8,"Life's a bitch, pull them panties to the side now"
Pre-or-Post-Chorus 9,(Pull them panties to the side now)
Pre-or-Post-Chorus 10,"Fear, what happens on Earth stays on Earth"
Pre-or-Post-Chorus 11,"Within fourteen tracks, carried out over wax"
