Section,Content
Verse 1,[]
Verse 2,"[""Well since she put me down I 've been out doin' in my head""]"
Verse 3,"[""I come in late at night and in the mornin' I just lay in bed""]"
Verse 4,"['Well, Rhonda you look so fine (look so fine)']"
Verse 5,"[""And I know it wouldn't take much time""]"
Verse 6,['Get her out of my heart']
Verse 7,['She was gonna be my wife']
Verse 8,['And I was gonna be her man']
Verse 9,['But she let another guy come between us']
Verse 10,['And it shattered our plan']
Verse 11,"['Well, Rhonda you caught my eye (caught my eye)']"
Verse 12,['And I can give you lots of reasons why']
Verse 13,['Get her out of my heart']
Pre-or-Post-Chorus 1,Help me get her out of my heart
Pre-or-Post-Chorus 2,Help me Rhonda yeah
Pre-or-Post-Chorus 3,Get her out of my heart
Chorus 1,Help me Rhonda
Chorus 2,"Help, help me Rhonda"
Chorus 3,Help me Rhonda
Chorus 4,"Help, help me Rhonda"
Chorus 5,Help me Rhonda
Chorus 6,"Help, help me Rhonda"
Chorus 7,Help me Rhonda
Chorus 8,"Help, help me Rhonda"
Chorus 9,Help me Rhonda
Chorus 10,"Help, help me Rhonda"
Chorus 11,Help me Rhonda
Chorus 12,"Help, help me Rhonda"
Chorus 13,Help me Rhonda
Chorus 14,"Help, help me Rhonda"
Chorus 15,Help me Rhonda
Chorus 16,"Help, help me Rhonda"
Chorus 17,Help me Rhonda
Chorus 18,"Help, help me Rhonda"
Chorus 19,Help me Rhonda
Chorus 20,"Help, help me Rhonda"
Chorus 21,Help me Rhonda
Chorus 22,"Help, help me Rhonda"
Chorus 23,Help me Rhonda
Chorus 24,"Help, help me Rhonda"
Chorus 25,Help me Rhonda
Chorus 26,"Help, help me Rhonda"
Chorus 27,Help me Rhonda
Chorus 28,"Help, help me Rhonda"
Chorus 29,Help me Rhonda
Chorus 30,"Help, help me Rhonda"
Chorus 31,Help me Rhonda
Chorus 32,"Help, help me Rhonda"
Chorus 33,Help me Rhonda
Chorus 34,"Help, help me Rhonda"
Chorus 35,Help me Rhonda
Chorus 36,"Help, help me Rhonda"
