Section,Content
Verse 1,[]
Verse 2,"[""Yo what's Crip-a-lat'n, this big Snoop Dogg""]"
Verse 3,['Leave your name and your number at the motherfucking beep']
Verse 4,"['If this one of my hoes, two-way me']"
Verse 5,"['Ay ay Snoop whattup, this your nigga Dre']"
Verse 6,"[""Ay man I was thinking I ain't said shit on your whole motherfucking album""]"
Verse 7,"['So check it out, put this on there:']"
Verse 8,"['All you motherfucking haters out there, can suck my motherfucking dick!']"
Verse 9,"[""I hope he don't be thinking I'm just talking""]"
Verse 10,"[""And I won't do a thing, really hope so""]"
Verse 11,"['Lay low, nobody move until I say so']"
Verse 12,['Limo tint rolling deep like the President']
Verse 13,"[""See I don't go to clubs, I never chase a bitch""]"
Verse 14,"[""I'm here to bang that gangsta shit 'til the apocalypse""]"
Verse 15,"[""We call it stress, some of y'all call it chocolate""]"
Verse 16,"[""Return of the Top Dogg, and ain't no stopping this""]"
Verse 17,"[""Whatever the case, I ain't trying to catch it""]"
Verse 18,"['Lay low, blow big dope, and slang records']"
Verse 19,"['Unseen but well heard, do not disturb']"
Verse 20,"[""The only reason you alive cause I ain't sent the word""]"
Verse 21,"['I flip, faster than birds, Snoop Dogg will emerge']"
Verse 22,"[""From the smoke and go loc, you shouldn't provoke""]"
Verse 23,['I bring the worst from the L.B.C.']
Verse 24,['Smash motherfuckers thinking they gonna smash on me']
Verse 25,"[""Snoop and Dre give a fuck about what y'all say""]"
Verse 26,"[""From the World's Most Dangerous Group, N.W.A.""]"
Verse 27,"['Our rise, it was no surprise']"
Verse 28,['I always knew these fools would trip']
Verse 29,"['Hating, faking, scheming on mine']"
Verse 30,['And on the down low talkin shit']
Verse 31,['Best move cause I refuse to lose']
Verse 32,['No matter which damn road I choose']
Verse 33,['So lay low cause you might be bruised']
Verse 34,['Top story on the evening news']
Verse 35,"[""I ain't for games, so if you wanna play 'em lay low""]"
Verse 36,['Lay down on the floor']
Verse 37,"[""I'm in a rage, so if we gotta do this let me know""]"
Verse 38,"[""That's what I came fo'""]"
Verse 39,['Where that nigga who be talking shit']
Verse 40,"[""He don't come around no more because I fucked his bitch""]"
Verse 41,"['I made her suck my dick, while I was squeezing the tits']"
Verse 42,"['Then I hit it from the back, gripped tight on them hips']"
Verse 43,"['She tried to make me cum, but I was trying to take her home']"
Verse 44,['Dropped her off and seen you fishing on your raggedy Brougham']
Verse 45,['Coulda thumped you in your dome (you little fag)']
Verse 46,"[""And don't sag too hard, you show everybody your thong""]"
Verse 47,"['Booyaka booyaka, we bring it straight to ya']"
Verse 48,"[""From 22's to Luger's the shit that shoot through ya""]"
Verse 49,['Who you motherfuckers think the Top Dogg bang with']
Verse 50,['The same clique he came with and made the game flip']
Verse 51,"['Now niggas grow they hair, hold they stare and act hard']"
Verse 52,"[""That's even tho' your CEO talk shit get slapped hard""]"
Verse 53,['The backyard is where we get our scrap on']
Verse 54,['The black car drive by then you get capped on']
Verse 55,"[""Whassup pimping, it's P and Snoop""]"
Verse 56,"[""With Dre on the beat, this ain't nothing but loot""]"
Verse 57,['They call me Jed Clampett for all the bread I got']
Verse 58,['But they call me Bill Clinton for all the head I got']
Verse 59,"[""I keeps it realer, cause I'm all about my scrilla""]"
Verse 60,"[""The ladies love me cause I'm a million dolla hitta""]"
Verse 61,"[""It's, No Limit 'til I D-I-E""]"
Verse 62,"[""I hope he don't be thinking I'm just talking""]"
Chorus 1,"For the nigga who be talking loud and holding his dick, talking shit"
Chorus 2,He better lay low
Chorus 3,"For the bitch that said I shot some shit up out of my dick, now she sick"
Chorus 4,She better lay low
Chorus 5,For the niggas who be claiming my hood
Chorus 6,"And really ain't from my gang, better lay low"
Chorus 7,I hope he don't be thinking I'm just talking
Chorus 8,"For the nigga who be talking loud and holding his dick, talking shit"
Chorus 9,He better lay low
Chorus 10,"For the bitch that said I shot some shit up out of my dick, now she sick"
Chorus 11,She better lay low
Chorus 12,For the niggas who be claiming my hood
Chorus 13,"And really ain't from my gang, better lay low"
Chorus 14,I hope he don't be thinking I'm just talking
