Section,Content
Verse 1,"['La-la-la-la La-la-la-la La-la-la-la (uh, yeah)', 'La-la-la-la', 'I want you to love me', ""Like I'm a hot ride (uh, yeah)"", 'Be thinking of me (uh)', 'Doing what you like', 'So, boy, forget about the world', ""'Cause it's gon' be me and you tonight (yeah)"", 'I wanna make you beg for it', ""Then I'ma make you swallow your pride, oh (uh, uh)"", ""Want you to make me feel like I'm the only girl in the world"", ""Like I'm the only one that you'll ever love"", ""Like I'm the only one who knows your heart"", 'Only girl in the world']"
Verse 2,"[""'Cause I'm the only one who understands"", 'How to make you feel like a man, yeah', ""Want you to make me feel like I'm the only girl in the world"", ""Like I'm the only one that you'll ever love"", ""Like I'm the only one who knows your heart""]"
Verse 3,"['Want you to take it (uh)', 'Like a thief in the night (uh)', 'Hold me like a pillow Make me feel right (uh)', ""Baby, I'll tell you all my secrets that I'm keeping"", 'You can come inside (yeah)', ""And when you enter, you ain't leaving"", 'Be my prisoner for the night, oh', ""Want you to make me feel like I'm the only girl in the world"", ""Like I'm the only one that you'll ever love"", ""Like I'm the only one who knows your heart"", ""Only girl in the world Like I'm the only one that's in command"", ""'Cause I'm the only one who understands"", ""Like I'm the only one who knows your heart""]"
Verse 4,[]
Verse 5,[]
Verse 6,[]
Verse 7,"['Oh, make it last all night, night']"
Verse 8,[]
Verse 9,[]
Verse 10,"[' Make it last all night', ""Want you to make me feel like I'm the only girl in the world"", ""Like I'm the only one that you'll ever love"", ""Like I'm the only one who knows your heart"", 'Only girl in the world']"
Verse 11,"[""'Cause I'm the only one who understands"", 'How to make you feel like a man', 'Only girl in the world']"
Verse 12,['Only girl in the world']
Verse 13,[]
Chorus 1,'Cause I'm the only one who understands
Chorus 2,Want you to make me feel like I'm the only girl in the world
Chorus 3,Like I'm the only one that you'll ever love
Chorus 4,Like I'm the only one who knows your heart
Chorus 5,Want you to make me feel like I'm the only girl in the world
Chorus 6,Like I'm the only one that you'll ever love
Chorus 7,Like I'm the only one who knows your heart
Chorus 8,'Cause I'm the only one who understands
Chorus 9,Like I'm the only one who knows your heart
Chorus 10,Want you to make me feel like I'm the only girl in the world
Chorus 11,Like I'm the only one that you'll ever love
Chorus 12,Like I'm the only one who knows your heart
Chorus 13,Only girl in the world
Chorus 14,'Cause I'm the only one who understands
Chorus 15,Only girl in the world
Chorus 16,Only girl in the world
Chorus 17,Want you to make me feel like I'm the only girl in the world
Chorus 18,Like I'm the only one that you'll ever love
Chorus 19,Like I'm the only one who knows your heart
Chorus 20,'Cause I'm the only one who understands
Chorus 21,Like I'm the only one who knows your heart
Chorus 22,Want you to make me feel like I'm the only girl in the world
Chorus 23,Like I'm the only one that you'll ever love
Chorus 24,Like I'm the only one who knows your heart
Chorus 25,Only girl in the world
Chorus 26,'Cause I'm the only one who understands
Chorus 27,Only girl in the world
Chorus 28,Only girl in the world
Chorus 29,Want you to make me feel like I'm the only girl in the world
Chorus 30,Like I'm the only one that you'll ever love
Chorus 31,Like I'm the only one who knows your heart
Chorus 32,Only girl in the world
Chorus 33,'Cause I'm the only one who understands
Chorus 34,Only girl in the world
Chorus 35,Only girl in the world
Chorus 36,Want you to make me feel like I'm the only girl in the world
Chorus 37,Like I'm the only one that you'll ever love
Chorus 38,Like I'm the only one who knows your heart
Chorus 39,Only girl in the world
Chorus 40,'Cause I'm the only one who understands
Chorus 41,Only girl in the world
Chorus 42,Only girl in the world
Chorus 43,Want you to make me feel like I'm the only girl in the world
Chorus 44,Like I'm the only one that you'll ever love
Chorus 45,Like I'm the only one who knows your heart
Chorus 46,Only girl in the world
Chorus 47,'Cause I'm the only one who understands
Chorus 48,Only girl in the world
Chorus 49,Only girl in the world
Chorus 50,Want you to make me feel like I'm the only girl in the world
Chorus 51,Like I'm the only one that you'll ever love
Chorus 52,Like I'm the only one who knows your heart
Chorus 53,Only girl in the world
Chorus 54,'Cause I'm the only one who understands
Chorus 55,Only girl in the world
Chorus 56,Only girl in the world
Chorus 57,Want you to make me feel like I'm the only girl in the world
Chorus 58,Like I'm the only one that you'll ever love
Chorus 59,Like I'm the only one who knows your heart
Chorus 60,Only girl in the world
Chorus 61,'Cause I'm the only one who understands
Chorus 62,Only girl in the world
Chorus 63,Only girl in the world
Chorus 64,Want you to make me feel like I'm the only girl in the world
Chorus 65,Like I'm the only one that you'll ever love
Chorus 66,Like I'm the only one who knows your heart
Chorus 67,Only girl in the world
Chorus 68,'Cause I'm the only one who understands
Chorus 69,Only girl in the world
Chorus 70,Only girl in the world
Chorus 71,Want you to make me feel like I'm the only girl in the world
Chorus 72,Like I'm the only one that you'll ever love
Chorus 73,Like I'm the only one who knows your heart
Chorus 74,Only girl in the world
Chorus 75,'Cause I'm the only one who understands
Chorus 76,Only girl in the world
Chorus 77,Only girl in the world
Chorus 78,'Cause I'm the only one who understands
Chorus 79,Only girl in the world
Chorus 80,Only girl in the world
Chorus 81,Only girl in the world
