Section,Content
Verse 1,[]
Verse 2,"[""Ain't another woman that can take your spot my-""]"
Verse 3,"['If I wrote you a symphony,']"
Verse 4,[]
Verse 5,['If I told you you were beautiful']
Verse 6,[]
Verse 7,"[""Well, baby I've been around the world""]"
Verse 8,"[""But I ain't seen myself another girl""]"
Verse 9,[]
Verse 10,"[""But there's just one thing I need from you""]"
Verse 11,['My love']
Verse 12,"['Now, if I wrote you a love note']"
Verse 13,['What would you do?']
Verse 14,['Would that make you wanna change your scene']
Verse 15,"['Tell me, would you?']"
Verse 16,"[""See, what's the point in waiting anymore?""]"
Verse 17,"[""'Cause girl I've never been more sure""]"
Verse 18,['This ring here represents my heart']
Verse 19,"[""And everything that you've been waiting for""]"
Verse 20,['My love']
Verse 21,['[T.I.']
Verse 22,[':]']
Verse 23,"[""Alright it's time to get it JT""]"
Verse 24,"[""I don't know what she hesitates for man""]"
Verse 25,"['Shorty, cool as a fan']"
Verse 26,['On the new once again']
Verse 27,['But he still has fan from Peru to Japan']
Verse 28,"[""Hey, listen baby, I don't wanna ruin your plan""]"
Verse 29,"['But if you got a man, try to lose him if you can']"
Verse 30,"[""'Cause the girls real wild""]"
Verse 31,['Throw their hands up high']
Verse 32,['When you wanna come and kick it with a stand-up guy']
Verse 33,"[""You don't really wanna let the chance go by""]"
Verse 34,"[""'Cause you ain't been seen with a man so fly""]"
Verse 35,['And with friends so fly I can go fly']
Verse 36,"[""Private, 'cause I handle my B.I.""]"
Verse 37,['They call me Candle Guy (why?)']
Verse 38,"[""Simply 'cause I am on fire""]"
Verse 39,"[""I hate to have to cancel my vacation so you can't deny""]"
Verse 40,"[""I'm patient, but I ain't gon' try""]"
Verse 41,"[""You don't come, I ain't gon' die""]"
Verse 42,"[""Hold up, what you mean, you can't go?""]"
Verse 43,['Why?']
Verse 44,"[""Me and your boyfriend we ain't no tie""]"
Verse 45,"[""You say you wanna kick it when I ain't so high?""]"
Verse 46,['Man']
Verse 47,"[""Well, baby it's obvious that I ain't your guy""]"
Verse 48,"[""I ain't gon' lie, I'll fill your space""]"
Verse 49,"['And forget your face, I swear I will']"
Verse 50,"['St. Barths, Anguilla anywhere I chill']"
Verse 51,"['Just bring with me any pair, I will']"
Verse 52,['My love']
Verse 53,['gal a call me name and its me fame']
Verse 54,['Its all good girl turn me on']
Verse 55,['Til a early morn']
Verse 56,['Girl its all good just turn me on']
Pre-or-Post-Chorus 1,What would you do?
Pre-or-Post-Chorus 2,"Tell me, would you?"
Pre-or-Post-Chorus 3,This ring here represents my heart
Pre-or-Post-Chorus 4,"Yeah, because I can see us holding hands"
Pre-or-Post-Chorus 5,"Walking on the beach, our toes in the sand"
Pre-or-Post-Chorus 6,I can see us on the countryside
Pre-or-Post-Chorus 7,"Sitting on the grass, laying side by side"
Pre-or-Post-Chorus 8,"You could be my baby, let me make you my lady"
Pre-or-Post-Chorus 9,"Girl, you amaze me"
Pre-or-Post-Chorus 10,Ain't gotta do nothing crazy
Pre-or-Post-Chorus 11,"See, all I want you to do is be my love"
Pre-or-Post-Chorus 12,Girl
Pre-or-Post-Chorus 13,"(Love) Ain't another woman that can take your spot, my love"
Pre-or-Post-Chorus 14,Lets get it on til a early morning
Pre-or-Post-Chorus 15,Girl its all good just turn me on
Chorus 1,(So don't give away) My love
Chorus 2,(So don't give away) My love
Chorus 3,(So don't give away)
Chorus 4,"Ain't another woman that can take your spot, my love"
Chorus 5,(So don't give away) My love
Chorus 6,(So don't give away) My love
Chorus 7,(So don't give away)
Chorus 8,"Ain't another woman that can take your spot, my love"
Chorus 9,My love
Chorus 10,My love
Chorus 11,(So don't give away) My love
Chorus 12,(So don't give away) My love
Chorus 13,(So don't give away)
Chorus 14,"Ain't another woman that can take your spot, my love"
Chorus 15,(So don't give away) My love
Chorus 16,(So don't give away) My love
Chorus 17,(So don't give away)
Chorus 18,"Ain't another woman that can take your spot, my love"
Chorus 19,My love
Chorus 20,My love
Chorus 21,(Love) My love
Chorus 22,(Love) My love
Chorus 23,(Love) My love
Chorus 24,(Love) My love
Chorus 25,My love
Chorus 26,My love
