Section,Content
Verse 1,[]
Verse 2,"['Duke, Duke, Duke, Duke of Earl']"
Verse 3,"['Duke, Duke, Duke of Earl']"
Verse 4,"['Duke, Duke, Duke of Earl']"
Verse 5,"['Duke, Duke, Duke of Earl']"
Verse 6,"['Duke, Duke, Duke of Earl']"
Verse 7,"['Duke, Duke, Duke of Earl']"
Verse 8,"['Duke, Duke, Duke of Earl']"
Verse 9,"['Duke, Duke, Duke of Earl']"
Verse 10,['As I walk through this world']
Verse 11,['Nothing can stop the Duke of Earl']
Verse 12,"['And-a you, you are my girl']"
Verse 13,[]
Verse 14,"[""'Cause I'm the Duke of Earl""]"
Verse 15,['So hey yea yea yeah']
Verse 16,['And when I hold you']
Verse 17,"[""You'll be my Duchess, Duchess of Earl""]"
Verse 18,"[""We'll walk through my dukedom""]"
Verse 19,[]
Verse 20,['So hey yeah yeah yeah']
Pre-or-Post-Chorus 1,"Yes-a, I, oh I'm gonna love you, oh oh"
Pre-or-Post-Chorus 2,Nothing can stop me now
Pre-or-Post-Chorus 3,So hey yeah yeah yeah
Chorus 1,'Cause I'm the Duke of Earl
Chorus 2,'Cause I'm the Duke of Earl
Chorus 3,'Cause I'm the Duke of Earl
Verse 1,"['Oh, my, god.', 'Becky, look at her butt.', 'It is so big.', '[scoff]', ""She looks like one of those rap guys' girlfriends."", 'But, you know, who understands those rap guys?', '[scoff]', ""They only talk to her, because, she looks like a total prostitute, 'kay?"", 'I mean, her butt, is just so big.', ""I can't believe it's just so round, it's like, out there, I meanâ€” gross."", 'Look!', ""She's just so... black!"", 'I like big butts and I can not lie', ""You other brothers can't deny"", 'That when a girl walks in with an itty bitty waist', 'And a round thing in your face', 'You get sprung, wanna pull up tough', ""'Cause you notice that butt was stuffed"", ""Deep in the jeans she's wearing"", ""I'm hooked and I can't stop staring"", 'Oh baby, I wanna get with you', 'And take your picture', 'My homeboys tried to warn me', 'But that butt you got makes me so horny', ""Ooh, Rump-o'-smooth-skin"", 'You say you wanna get in my Benz?', 'Well, use me, use me', ""'Cause you ain't that average groupie"", ""I've seen them dancin'"", ""To hell with romancin'"", ""She's sweat, wet,"", ""Got it goin' like a turbo 'Vette"", ""I'm tired of magazines"", ""Sayin' flat butts are the thing"", 'Take the average black man and ask him that', 'She gotta pack much back', 'So, fellas!']"
Verse 2,['Fellas!']
Verse 3,"['Has your girlfriend got the butt?', '(Hell yeah!)', ""Tell 'em to shake it!"", '(Shake it!)', 'Shake it!', '(Shake it!)', 'Shake that healthy butt!']"
Verse 4,"[""I like 'em round, and big"", ""And when I'm throwin' a gig"", ""I just can't help myself, I'm actin' like an animal"", ""Now here's my scandal"", 'I wanna get you home', 'And ugh, double-up, ugh, ugh', ""I ain't talkin' bout Playboy"", ""'Cause silicone parts are made for toys"", ""I want 'em real thick and juicy"", 'So find that juicy double', ""Mix-a-Lot's in trouble"", ""Beggin' for a piece of that bubble"", ""So I'm lookin' at rock videos"", ""Knock-kneed bimbos walkin' like hoes"", 'You can have them bimbos', ""I'll keep my women like Flo Jo"", 'A word to the thick soul sisters, I wanna get with ya', ""I won't cuss or hit ya"", 'But I gotta be straight when I say I wanna [moan]', 'Till the break of dawn', ""Baby got it goin' on"", ""A lot of simps won't like this song"", ""'Cause them punks like to hit it and quit it"", ""And I'd rather stay and play"", ""'Cause I'm long, and I'm strong"", ""And I'm down to get the friction on"", 'So, ladies!']"
Verse 5,"['Ladies!', '(Yeah)', 'If you wanna roll in my Mercedes (Yeah!)', 'Then turn around!', 'Stick it out!', 'Even white boys got to shout']"
