Section,Content
Verse 1,[]
Verse 2,"[""Babe, tomorrow's so far away""]"
Verse 3,"[""There's something I just have to say""]"
Verse 4,"[""I don't think I can hide what I'm feelin' inside""]"
Verse 5,"[""Another day, knowin' I love you""]"
Verse 6,"[""And I, I'm getting too close again""]"
Verse 7,"[""I don't want to see it end""]"
Verse 8,['If I tell you tonight will you turn out the light']
Verse 9,['To feel this way']
Verse 10,['And let me go?']
Verse 11,['To feel this way']
Verse 12,['And let me go?']
Verse 13,"[""I don't wanna lose you""]"
Verse 14,['You and I']
Verse 15,"[""I know that we can't wait""]"
Verse 16,"[""And I swear, I swear it's not a lie girl""]"
Verse 17,['Tomorrow may be too late']
Verse 18,"['You, you and I girl']"
Verse 19,['We can share a life together']
Verse 20,"[""It's now or never""]"
Verse 21,['And tomorrow may be too late']
Verse 22,"[""And, feelin' the way I do""]"
Verse 23,"[""I don't wanna wait my whole life through""]"
Verse 24,"[""To say I'm in love with you""]"
Pre-or-Post-Chorus 1,I'm gonna take you by surprise and make you realize
Pre-or-Post-Chorus 2,"I'm gonna tell you right away, I can't wait another day"
Pre-or-Post-Chorus 3,I'm gonna say it like a man and make you understand
Pre-or-Post-Chorus 4,I love you
Pre-or-Post-Chorus 5,And I feel like today's the day
Pre-or-Post-Chorus 6,I'm lookin' for the words to say
Pre-or-Post-Chorus 7,"Do you wanna be free, are you ready for me"
Pre-or-Post-Chorus 8,To feel this way
Pre-or-Post-Chorus 9,"So, it may be too soon, I know"
Pre-or-Post-Chorus 10,The feeling takes so long to grow
Pre-or-Post-Chorus 11,If I tell you today will you turn me away
Pre-or-Post-Chorus 12,And let me go?
Chorus 1,Amanda
Chorus 2,Amanda
Chorus 3,Amanda
Chorus 4,Amanda
Chorus 5,Amanda
Chorus 6,Amanda
