Section,Content
Verse 1,[]
Verse 2,"[""Ladies and gents, turn up your sound systems to the sound of Carlos Santana and the G&B, it's The Product of get-away blues from the refugee camp""]"
Verse 3,['She living a life just like a movie star']
Verse 4,['She fell in love in East L.A']
Verse 5,['Played by Carlos Santana']
Verse 6,"['Stop the looting, stop the shooting']"
Verse 7,['Pick pocking on the corner']
Verse 8,['See as the rich is getting richer']
Verse 9,['Thinking of ways to make it better']
Verse 10,"[""In my mailbox there's an eviction letter""]"
Verse 11,"['Signed by the judge, said, ""See you later.""']"
Verse 12,['Ahora vengo mama chola mama chola']
Verse 13,['Ahora vengo mama chola (East Coast)']
Verse 14,['Ahora vengo mama chola mama chola']
Verse 15,['Ahora vengo mama chola (West Coast)']
Verse 16,['She living a life just like a movie star']
Verse 17,['She fell in love in East L.A']
Verse 18,"['I said it to the sounds of the guitar, yeah, yeah']"
Verse 19,['Played by Carlos Santana']
Verse 20,['I said a la favella los colores']
Verse 21,['The streets are getting hotter']
Verse 22,['There is no water to put out the fire']
Verse 23,['Thinking of ways to make it better']
Verse 24,['Then I looked up in the sky']
Verse 25,['Hoping the days of paradise']
Verse 26,['Ahora vengo mama chola mama chola']
Verse 27,['Ahora vengo mama chola (North Side)']
Verse 28,['Ahora vengo mama chola mama chola']
Verse 29,['Ahora vengo mama chola (South Side)']
Verse 30,['Ahora vengo mama chola mama chola']
Verse 31,['Ahora vengo mama chola (world-wide)']
Verse 32,['Ahora vengo mama chola mama chola']
Verse 33,['Ahora vengo mama chola (open up your eyes)']
Verse 34,"[""Maria you know you're my lover""]"
Verse 35,['When the wind blows']
Verse 36,['I can feel you through the weather']
Verse 37,"[""And even when we're apart""]"
Verse 38,"[""Still feels like we're together""]"
Verse 39,['She living a life just like a movie star']
Verse 40,['She fell in love in East L.A']
Verse 41,['Played by Carlos Santana']
Verse 42,"[""Put 'em up, yo""]"
Verse 43,['Carlos Santana with the refugee camp']
Verse 44,"['Wyclef, Jerry Wonda, Mr. Santana, G&B']"
Verse 45,"[""Yo, Carlos, man, you're making that guitar cry""]"
Pre-or-Post-Chorus 1,Se mira Maria on the corner
Pre-or-Post-Chorus 2,Thinking of ways to make it better
Chorus 1,She remind me of a West Side story
Chorus 2,Growing up in Spanish Harlem
Chorus 3,She living a life just like a movie star
Chorus 4,She fell in love in East L.A
Chorus 5,Played by Carlos Santana
Chorus 6,She remind me of a West Side story
Chorus 7,Growing up in Spanish Harlem
Chorus 8,She living a life just like a movie star
Chorus 9,She fell in love in East L.A
Chorus 10,Played by Carlos Santana
Chorus 11,She remind me of a West Side story
Chorus 12,Growing up in Spanish Harlem
Chorus 13,She living a life just like a movie star
Chorus 14,She fell in love in East L.A
Chorus 15,Played by Carlos Santana
