Section,Content
Verse 1,[]
Verse 2,['Shake that thing Miss Kana Kana']
Verse 3,['Shake that thing Miss Annabella']
Verse 4,['Shake that thing yan Donna Donna']
Verse 5,['Jodi and Rebecca']
Verse 6,['Girl its all good just turn me on']
Verse 7,"['Woman dont sweat it, dont get agitate just gwaan rotate']"
Verse 8,['Can anything you want you know you must get it']
Verse 9,['From you name a mentuin']
Verse 10,['Dont ease the tension just run the program gals wan pet it']
Verse 11,['Just have a good time']
Verse 12,['Gal free up unu mind caw nobody can dis you man wont let it can']
Verse 13,['You a the number one gal']
Verse 14,['Wave you hand']
Verse 15,['Girl its all good just turn me on']
Verse 16,['Its all good girl turn me on']
Verse 17,['til a early morn']
Verse 18,['lets get it on']
Verse 19,['lets get it on til a early morning']
Verse 20,['girl its all good just turn me on']
Verse 21,"['Yo, Shake that thing']"
Verse 22,['Miss Kana Kana shake that thing']
Verse 23,"['Yo, Annabella shake that thing']"
Verse 24,['Miss Donna Donna']
Verse 25,['Yo Miss Jodi yur di one and Rebecca shake that thing']
Verse 26,['Yo shake that thing']
Verse 27,['Yo Joanna shake that thing']
Verse 28,['Yo Annabella shake that think']
Verse 29,['Them cah vex with us']
Verse 30,['From the day me born jah ignite me flame']
Verse 31,['Girl its all good just turn me on']
Pre-or-Post-Chorus 1,When the beat drops
Pre-or-Post-Chorus 2,Just keep swinging it
Pre-or-Post-Chorus 3,Get jiggy
Pre-or-Post-Chorus 4,Get crunked up
Pre-or-Post-Chorus 5,Percolate anything you want to call it
Pre-or-Post-Chorus 6,Oscillate you hip and dont take pity
Pre-or-Post-Chorus 7,Me want fi see you get live pon the riddim when me ride
Pre-or-Post-Chorus 8,And me lyrics a provide electricity
Pre-or-Post-Chorus 9,Gal nobody can tell you nuttin
Pre-or-Post-Chorus 10,Can you done know your destiny
Pre-or-Post-Chorus 11,From the day me born jah ignite me flame gal a call me name and its me fame
Pre-or-Post-Chorus 12,Til a early morn
Pre-or-Post-Chorus 13,Lets get it on
Chorus 1,Yo sexy ladies want par with us
Chorus 2,In a the car with us
Chorus 3,Them nah war with us
Chorus 4,In a the club them want flex with us
Chorus 5,To get next to us
Chorus 6,Them cah vex with us
Chorus 7,Its all good girl turn me on
Chorus 8,Lets get it on til a early morning
Chorus 9,Girl its all good just turn me on
Chorus 10,Yo sexy ladies want par with us
Chorus 11,In a the car with us
Chorus 12,Them nah war with us
Chorus 13,In a the club them want flex with us
Chorus 14,To get next to us
Chorus 15,Them cah vex with us
Chorus 16,Its all good girl turn me on
Chorus 17,Lets get it on til a early morning
Chorus 18,Girl its all good just turn me on
Chorus 19,Yo sexy ladies want par with us
Chorus 20,In a the car with us
Chorus 21,Them nah war with us
Chorus 22,In a the club them want flex with us
Chorus 23,To get next to us
Chorus 24,Them cah vex with us
Chorus 25,Its all good girl turn me on
Chorus 26,Yo sexy ladies want par with us
Chorus 27,In a the car with us
Chorus 28,Them nah war with us
Chorus 29,In a the club them want flex with us
Chorus 30,To get next to us
Chorus 31,Them cah vex with us
Chorus 32,Its all good girl turn me on
Chorus 33,Lets get it on til a early morning
Chorus 34,Girl its all good just turn me on
Chorus 35,Lets get it on til a early morning
Chorus 36,Girl its all good just turn me on
