Section,Content
Verse 1,"['Mmmm ..... Mmmmm.... Yeah....Mmmmm....Yeah, Yeah, Yeah']"
Verse 2,"[""Baby, I just don't get it""]"
Verse 3,['Do you enjoy being hurt?']
Verse 4,"['I know you smelled the perfume, the make-up on his shirt']"
Verse 5,"[""You don't believe his stories""]"
Verse 6,"[""You know that they're all lies""]"
Verse 7,"[""I'd be coming home (back to you)""]"
Verse 8,"[""Show you the way love's supposed to be""]"
Verse 9,"['Baby, you should let me love you, love you, love you']"
Verse 10,['Listen']
Verse 11,"[""Your true beauty's description looks so good that it hurts""]"
Verse 12,"[""You're a dime plus ninety-nine and it's a shame""]"
Verse 13,"[""Don't even know what you're worth""]"
Verse 14,['Everywhere you go they stop and stare']
Verse 15,"[""Cause you're bad and it shows""]"
Verse 16,"[""I'd be coming home (back to you)""]"
Verse 17,['Let me be the one to give you everything you want and need']
Verse 18,"[""Show you the way love's supposed to be""]"
Verse 19,['Baby you should let me....']
Verse 20,['You deserve better girl (you know you deserve better)']
Verse 21,['We should be together girl (baby)']
Verse 22,"[""With me and you it's whatever girl, hey!""]"
Verse 23,"[""Show you the way love's supposed to be""]"
Verse 24,['Let me be the one to give you everything you want and need']
Verse 25,['Let me be the one to give you everything you want and need']
Verse 26,['Good love and protection(protection)']
Verse 27,['Make me your selection(selection)']
Verse 28,"[""Show you the way love's supposed to be yeah""]"
Verse 29,"[""Let me love you that's all you need baby""]"
Pre-or-Post-Chorus 1,"Mmmm ..... Mmmmm.... Yeah....Mmmmm....Yeah, Yeah, Yeah"
Pre-or-Post-Chorus 2,If I was your man (baby you)
Pre-or-Post-Chorus 3,Never worry bout (what I do)
Pre-or-Post-Chorus 4,I'd be coming home (back to you)
Pre-or-Post-Chorus 5,You're the type of woman (deserves good thangs)
Pre-or-Post-Chorus 6,Fistful of diamonds (hand full of rings)
Pre-or-Post-Chorus 7,"Baby, you're a star (I just want to show you, you are)"
Pre-or-Post-Chorus 8,Baby good love and protection
Chorus 1,You should let me love you
Chorus 2,Let me be the one to give you everything you want and need
Chorus 3,Make me your selection
Chorus 4,Show you the way love's supposed to be
Chorus 5,You should let me love you
Chorus 6,Let me be the one to give you everything you want and need
Chorus 7,Make me your selection
Chorus 8,Show you the way love's supposed to be
Chorus 9,You should let me love you
Chorus 10,Let me be the one to give you everything you want and need
Chorus 11,Make me your selection
Chorus 12,Show you the way love's supposed to be
Chorus 13,Let me be the one to give you everything you want and need
Chorus 14,Make me your selection
Chorus 15,Show you the way love's supposed to be
Chorus 16,You should let me love you
Chorus 17,Let me be the one to give you everything you want and need
