Section,Content
Verse 1,[]
Verse 2,"['Hey, kids, shake it loose together']"
Verse 3,"[""The spotlight's hitting something""]"
Verse 4,"[""That's been known to change the weather""]"
Verse 5,"[""We'll kill the fatted calf tonight""]"
Verse 6,['So stick around']
Verse 7,"[""You're gonna hear electric music""]"
Verse 8,['Solid walls of sound']
Verse 9,"[""She's got electric boots, a mohair suit""]"
Verse 10,['B-B-B-Bennie and the Jets']
Verse 11,"['Hey, kids, plug into the faithless']"
Verse 12,"[""Maybe they're blinded""]"
Verse 13,['But Bennie makes them ageless']
Verse 14,"['We shall survive, let us take ourselves along']"
Verse 15,['Where we fight our parents out in the streets']
Verse 16,"[""To find who's right and who's wrong""]"
Verse 17,['B-B-B-Bennie and the Jets']
Verse 18,"[""Ooh, but they're so spaced out""]"
Verse 19,['B-B-B-Bennie and the Jets']
Verse 20,[]
Verse 21,"['Bennie, Bennie, Bennie, Bennie and the Jets']"
Verse 22,"['Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets, the Jets, the Jets']"
Verse 23,"['Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets']"
Pre-or-Post-Chorus 1,Have you seen them yet?
Pre-or-Post-Chorus 2,"Ooh, but they're so spaced out"
Pre-or-Post-Chorus 3,"Oh, but they're weird and they're wonderful"
Pre-or-Post-Chorus 4,"Oh, Bennie."
Pre-or-Post-Chorus 5,She's really keen
Pre-or-Post-Chorus 6,"She's got electric boots, a mohair suit"
Pre-or-Post-Chorus 7,You know I read it in a magazine
Pre-or-Post-Chorus 8,"Bennie, Bennie, Bennie, Bennie and the Jets"
Chorus 1,B-B-B-Bennie and the Jets
Chorus 2,B-B-B-Bennie and the Jets
Chorus 3,B-B-B-Bennie and the Jets
Chorus 4,B-B-B-Bennie and the Jets
Chorus 5,B-B-B-Bennie and the Jets
