Section,Content
Verse 1,[]
Verse 2,['I stay out too late']
Verse 3,"[""That's what people say, mmm-mmm""]"
Verse 4,['I go on too many dates']
Verse 5,"[""But I can't make them stay""]"
Verse 6,[]
Verse 7,"['I shake it off, I shake it off']"
Verse 8,['I never miss a beat']
Verse 9,"[""I'm lightning on my feet""]"
Verse 10,"[""And that's what they don't see, mmm-mmm""]"
Verse 11,"[""That's what they don't see, mmm-mmm""]"
Verse 12,"[""I'm dancing on my own (dancing on my own)""]"
Verse 13,['I make the moves up as I go (moves up as I go)']
Verse 14,"[""And that's what they don't know, mmm-mmm""]"
Verse 15,['But I keep cruising']
Verse 16,"['I, I, I shake it off, I shake it off']"
Verse 17,"['Hey, hey, hey']"
Verse 18,"[""Just think while you've been getting down and out about the liars and the dirty, dirty cheats of the world,""]"
Verse 19,"[""You could've been getting down to this sick beat.""]"
Verse 20,['My ex-man brought his new girlfriend']
Verse 21,"['She\'s like ""Oh, my God!""']"
Verse 22,"[""but I'm just gonna shake.""]"
Verse 23,['And to the fella over there with the hella good hair']
Verse 24,"[""Won't you come on over, baby?""]"
Verse 25,"['We can shake, shake, shake']"
Verse 26,"['And the haters gonna hate, hate, hate, hate, hate']"
Verse 27,"['Shake it off, I shake it off,']"
Verse 28,"['I, I, I shake it off, I shake it off']"
Pre-or-Post-Chorus 1,But I keep cruising
Pre-or-Post-Chorus 2,It's like I got this music
Pre-or-Post-Chorus 3,In my mind
Pre-or-Post-Chorus 4,"Saying, ""It's gonna be alright."""
Chorus 1,"That's what people say, mmm-mmm"
Chorus 2,"That's what people say, mmm-mmm"
Chorus 3,"That's what people say, mmm-mmm"
Chorus 4,"'Cause the players gonna play, play, play, play, play"
Chorus 5,"And the haters gonna hate, hate, hate, hate, hate"
Chorus 6,"Baby, I'm just gonna shake, shake, shake, shake, shake"
Chorus 7,"I shake it off, I shake it off"
Chorus 8,"Heart-breakers gonna break, break, break, break, break"
Chorus 9,"And the fakers gonna fake, fake, fake, fake, fake"
Chorus 10,"Baby, I'm just gonna shake, shake, shake, shake, shake"
Chorus 11,"I shake it off, I shake it off"
Chorus 12,"'Cause the players gonna play, play, play, play, play"
Chorus 13,"And the haters gonna hate, hate, hate, hate, hate"
Chorus 14,"Baby, I'm just gonna shake, shake, shake, shake, shake"
Chorus 15,"I shake it off, I shake it off"
Chorus 16,"Heart-breakers gonna break, break, break, break, break"
Chorus 17,"And the fakers gonna fake, fake, fake, fake, fake"
Chorus 18,"Baby, I'm just gonna shake, shake, shake, shake, shake"
Chorus 19,"I shake it off, I shake it off"
Chorus 20,"Shake it off, I shake it off,"
Chorus 21,"I, I, I shake it off, I shake it off,"
Chorus 22,"I, I, I shake it off, I shake it off,"
Chorus 23,"I, I, I shake it off, I shake it off"
Chorus 24,"'Cause the players gonna play, play, play, play, play"
Chorus 25,"And the haters gonna hate, hate, hate, hate, hate"
Chorus 26,"I shake it off, I shake it off"
Chorus 27,"Heart-breakers gonna break, break, break, break, break"
Chorus 28,"And the fakers gonna fake, fake, fake, fake, fake"
Chorus 29,"Baby, I'm just gonna shake, shake, shake, shake, shake"
Chorus 30,"I shake it off, I shake it off"
Chorus 31,"Shake it off, I shake it off,"
Chorus 32,"I, I, I shake it off, I shake it off,"
Chorus 33,"I, I, I shake it off, I shake it off"
Chorus 34,"I, I, I shake it off, I shake it off"
Chorus 35,"Shake it off, I shake it off,"
Chorus 36,"I, I, I shake it off, I shake it off,"
Chorus 37,"I, I, I shake it off, I shake it off,"
Chorus 38,"I, I, I shake it off, I shake it off"
Chorus 39,"Shake it off, I shake it off,"
Chorus 40,"I, I, I shake it off, I shake it off,"
Chorus 41,"I, I, I shake it off, I shake it off"
