Section,Content
Verse 1,[]
Verse 2,"['Hello, everyone, this is your action news reporter with all the news that is news across the nation, on the scene at the supermarket.']"
Verse 3,"['Yeah, I did.']"
Verse 4,"[""I's standin' overe there by the tomaters, and here he come, running through the pole beans, through the fruits and vegetables, nekkid as a jay bird.""]"
Verse 5,"['And I hollered over t\' Ethel, I said, ""Don\'t look, Ethel!""']"
Verse 6,"[""But it's too late, she'd already been incensed.""]"
Verse 7,"['Here he comes, look at that, look at that']"
Verse 8,"['There he goes, look at that, look at that']"
Verse 9,"[""And he ain't wearin' no clothes""]"
Verse 10,"['(Look at that, look at that)']"
Verse 11,['Of his anatomy']
Verse 12,"[""Invitin' public critique""]"
Verse 13,"['Yeah, I did.']"
Verse 14,"[""I's just in here gettin my car checked, he just appeared out of the traffic.""]"
Verse 15,"[""Come streakin' around the grease rack there, didn't have nothin' on but a smile.""]"
Verse 16,"[""I looked in there, and Ethel was gettin' her a cold drink.""]"
Verse 17,[]
Verse 18,"[""She'd already been mooned.""]"
Verse 19,['Flashed her right there in front of the shock absorbers.']
Verse 20,"[""He ain't crude, look at that, look at that""]"
Verse 21,"[""He ain't lewd, look at that, look at that""]"
Verse 22,"['(Look at that, look at that)']"
Verse 23,"['(Look at that, look at that)']"
Verse 24,"[""He's always makin' the news""]"
Verse 25,"[""Wearin' just his tennis shoes""]"
Verse 26,['Guess you could call him unique']
Verse 27,"['Yeah, I did.']"
Verse 28,"[""Half time, I's just goin' down thar to get Ethel a snow cone.""]"
Verse 29,"['And here he come, right out of the cheap seats, dribbling, right down the middle of the court.']"
Verse 30,"[""Didn't have on nothing but his PF's.""]"
Verse 31,['Made a hook shot and got out through the concessions stand.']
Verse 32,['But it was too late.']
Verse 33,"[""She'd already got a free shot.""]"
Verse 34,"['(Look at that, look at that)']"
Verse 35,['Of his anatomy']
Verse 36,"[""He's gonna give us a peek""]"
Verse 37,['Here he comes again.']
Verse 38,"[""Who's that with him?""]"
Verse 39,['Ethel?']
Verse 40,"['Is that you, Ethel?']"
Verse 41,"[""What do you think you're""]"
Verse 42,"[""doin'?""]"
Verse 43,['You git your']
Verse 44,[]
Verse 45,"[""Where you goin'?""]"
Verse 46,"['Ethel, you shameless']"
Verse 47,['hussy!']
Verse 48,['Ethel!']
Verse 49,['Ethelllllll!!']
Verse 50,['!']
Pre-or-Post-Chorus 1,"Pardon me, sir, did you see what happened?"
Pre-or-Post-Chorus 2,"Yeah, I did."
Pre-or-Post-Chorus 3,He's just as proud as he can be
Pre-or-Post-Chorus 4,Of his anatomy
Pre-or-Post-Chorus 5,He likes to show off his physique
Pre-or-Post-Chorus 6,If there's an audience to be found
Pre-or-Post-Chorus 7,He'll be streakin' around
Pre-or-Post-Chorus 8,Invitin' public critique
Pre-or-Post-Chorus 9,But it was too late.
Pre-or-Post-Chorus 10,Ethel!
Chorus 1,"(Look at that, look at that)"
Chorus 2,"(Look at that, look at that)"
Chorus 3,"Oh, yes, they call him the Streak"
Chorus 4,"(Look at that, look at that)"
Chorus 5,"(Look at that, look at that)"
Chorus 6,"Oh, yes, they call him the Streak"
Chorus 7,"(Look at that, look at that)"
Chorus 8,"(Look at that, look at that)"
Chorus 9,"Oh, yes, they call him the Streak"
Chorus 10,"(Look at that, look at that)"
Chorus 11,"(Look at that, look at that)"
Chorus 12,"Oh, yes, they call him the Streak"
Chorus 13,"(Look at that, look at that)"
Chorus 14,"(Look at that, look at that)"
