term_str,n,p,char_len
you,282,0.03529411764705882,3
the,267,0.03341677096370463,3
I,180,0.02252816020025031,1
me,155,0.01939924906132666,2
to,146,0.018272841051314142,2
it,134,0.016770963704630788,2
a,121,0.015143929912390488,1
be,108,0.013516896120150187,2
and,100,0.012515644555694618,3
that,93,0.011639549436795994,4
gonna,88,0.011013767209011264,5
shake,81,0.010137672090112642,5
I'm,78,0.009762202753441803,3
in,73,0.009136420525657071,2
love,66,0.008260325406758449,4
your,64,0.008010012515644555,4
want,59,0.007384230287859825,4
on,58,0.007259073842302879,2
like,57,0.007133917396745932,4
off,56,0.007008760951188986,3
with,53,0.006633291614518148,4
one,50,0.006257822277847309,3
my,50,0.006257822277847309,2
are,50,0.006257822277847309,3
of,50,0.006257822277847309,2
just,47,0.0058823529411764705,4
well,46,0.005757196495619525,4
all,44,0.005506883604505632,3
at,44,0.005506883604505632,2
can,41,0.005131414267834793,3
'I,40,0.0050062578222778474,2
only,39,0.0048811013767209015,4
get,38,0.004755944931163955,3
bump,37,0.004630788485607009,4
got,36,0.004505632040050063,3
Baby,36,0.004505632040050063,4
turn,35,0.004380475594493116,4
girl,34,0.00425531914893617,4
for,34,0.00425531914893617,3
',34,0.00425531914893617,1
give,31,0.0038798498122653317,4
'Cause,31,0.0038798498122653317,6
And,31,0.0038798498122653317,3
don't,31,0.0038798498122653317,5
ain't,30,0.0037546933667083854,5
'And,29,0.0036295369211514395,4
make,29,0.0036295369211514395,4
she,28,0.003504380475594493,3
take,28,0.003504380475594493,4
wanna,28,0.003504380475594493,5
'You,28,0.003504380475594493,4
is,28,0.003504380475594493,2
us,28,0.003504380475594493,2
let,27,0.003379224030037547,3
look,27,0.003379224030037547,4
some,27,0.003379224030037547,4
good,26,0.003254067584480601,4
see,26,0.003254067584480601,3
You,26,0.003254067584480601,3
know,26,0.003254067584480601,4
Bennie,25,0.0031289111389236545,6
way,23,0.0028785982478097623,3
this,23,0.0028785982478097623,4
Duke,22,0.002753441802252816,4
up,22,0.002753441802252816,2
Like,22,0.002753441802252816,4
du,22,0.002753441802252816,2
My,21,0.0026282853566958696,2
play,21,0.0026282853566958696,4
when,21,0.0026282853566958696,4
come,20,0.0025031289111389237,4
hate,20,0.0025031289111389237,4
so,20,0.0025031289111389237,2
go,20,0.0025031289111389237,2
Let,19,0.0023779724655819774,3
everything,19,0.0023779724655819774,10
what,19,0.0023779724655819774,4
She,19,0.0023779724655819774,3
around,19,0.0023779724655819774,6
who,19,0.0023779724655819774,3
me',18,0.0022528160200250315,3
mama,18,0.0022528160200250315,4
