Section,Content
Verse 1,[]
Verse 2,['Hee...']
Verse 3,['Everybody get up']
Verse 4,"[""Flash back, who's that dancin' to the latest""]"
Verse 5,"['Suave de bone, the greatest, ooh, he sure is moving me']"
Verse 6,"[""That's what I said though you didn't know yet""]"
Verse 7,[]
Verse 8,"['That is, that is Square Biz']"
Verse 9,"['So shy, whoa, my, had to change that real quick']"
Verse 10,"['Had to use a few tricks, you know like my femme fatale']"
Verse 11,"[""Phase two, me, you dancin' on a cloud""]"
Verse 12,"[""I'm talkin' love that is""]"
Verse 13,"['That is, that is Square Biz']"
Verse 14,[]
Verse 15,"['Square Biz, Square Biz']"
Verse 16,"[""I'm talkin' love""]"
Verse 17,"['Phase three, ooh-wee, on a love oasis']"
Verse 18,['Joy upon our faces sent from up above']
Verse 19,"['Bombs burst, fireworks, big production thing']"
Verse 20,"[""I'm talkin' love that is""]"
Verse 21,"['That is, that is, that is Square Biz']"
Verse 22,['Ooh']
Verse 23,"[""Hey, baby, what's your name, huh""]"
Verse 24,"['{Ladies call me Slick Rick, baby}']"
Verse 25,"[""Well, don't be too slick now""]"
Verse 26,"[""I'm talking Square Biz {Talk to me, talk to me, baby}""]"
Verse 27,"[""I'm talking Square Biz {Talk to me, talk to me}""]"
Verse 28,"[""I'm talking Square Biz {Talk to me}""]"
Verse 29,"[""I'm talking Square Biz to you""]"
Verse 30,"[""I'm talking Square Biz {Talk to me}""]"
Verse 31,"[""I'm talking Square Biz to you""]"
Verse 32,"[""Baby, what's happening""]"
Verse 33,['Entre vous Lady Tee']
Verse 34,"[""I've heard a boatload of others ladies' raps""]"
Verse 35,"[""But they ain't got nothin' on me""]"
Verse 36,"[""I'm less than five foot one, a hundred pounds of fun""]"
Verse 37,['I like sophisticated funk']
Verse 38,"['I live on Dom Perignon, caviar, filet mignon']"
Verse 39,"[""And you can best believe that's bunk""]"
Verse 40,"['Square Biz, Square Biz']"
Verse 41,"[""I've been called Casper, Shorty, Lil' Bit""]"
Verse 42,['And some they call me Vanilla Child']
Verse 43,"[""But you know that don't mean my world to me""]"
Verse 44,"[""'Cause baby, names can't cramp my style""]"
Verse 45,"[""{I love chick-icken} And Buff's collard greens""]"
Verse 46,['A little hot water corn bread']
Verse 47,['I love you too Cat daddy']
Verse 48,"[""But don't you let that go to your head""]"
Verse 49,"['Square Biz, Square Biz']"
Verse 50,['You know I love spirituals and rock']
Verse 51,"['Sarah Vaughn, Johann Sebastian Bach']"
Verse 52,"['Shakespeare, Maya Angelou']"
Verse 53,['And Nikki Giovanni just to name a few']
Verse 54,"[""Well, I'm wild and peaceful Lady Tee""]"
Verse 55,"['I got to keep my irons in the fire, you see']"
Verse 56,"['I got the point, the scam, the low, the deal']"
Verse 57,"[""I'm talkin' love that is""]"
Verse 58,"[""I'm gonna talk my love""]"
Verse 59,"[""I'm gonna hip you to the Tee""]"
Verse 60,['{The Tee} The Tee']
Verse 61,"[""What's the Tee""]"
Verse 62,"[""I'm gonna talk my love""]"
Verse 63,"[""I'm gonna hip you to the Tee""]"
Verse 64,"[""{Everybody's dancing on the Tee}""]"
Verse 65,['Quit talking Square Biz']
Verse 66,"[""{Everybody's dancing on the Tee}""]"
Verse 67,['Quit talking Square Biz']
Pre-or-Post-Chorus 1,"So don't you have no doubt, I'm gonna spell it out"
Pre-or-Post-Chorus 2,I'll hip you to the Tee that is
Pre-or-Post-Chorus 3,"I got the best, the most, baby, from coast to coast"
Pre-or-Post-Chorus 4,"And I don't wanna boast, but I love you Square Biz"
Pre-or-Post-Chorus 5,"I'm talkin' Square Biz to you, baby"
Pre-or-Post-Chorus 6,"Square, Square Biz"
Pre-or-Post-Chorus 7,I'm talkin' love that it
Pre-or-Post-Chorus 8,I'm talkin' love that is
Pre-or-Post-Chorus 9,"Square Biz, Square Biz"
Pre-or-Post-Chorus 10,"Flash back, who's that {Flash back}"
Pre-or-Post-Chorus 11,I'm gonna talk about it
Pre-or-Post-Chorus 12,I'm gonna talk my love
Chorus 1,"I'm talkin' Square Biz to you, baby"
Chorus 2,"Square, Square Biz"
Chorus 3,"Square, Square Biz"
Chorus 4,"I'm talkin' Square Biz to you, baby"
Chorus 5,"Square, Square Biz"
Chorus 6,"I'm talkin' Square Biz to you, baby"
Chorus 7,"Square, Square Biz"
Chorus 8,"Square, Square Biz"
Chorus 9,"I'm talkin' Square Biz to you, baby"
Chorus 10,"Square, Square Biz"
Chorus 11,"Square Biz, Square Biz"
Chorus 12,"Square Biz, Square Biz"
Chorus 13,"Square Biz, Square Biz"
Chorus 14,"I'm talkin' Square Biz to you, baby"
Chorus 15,"Square, Square Biz"
Chorus 16,"Square, Square Biz"
Chorus 17,"I'm talkin' Square Biz to you, baby"
Chorus 18,"Square, Square Biz"
Chorus 19,"Square Biz, Square Biz"
Chorus 20,"Square Biz, Square Biz"
Chorus 21,"Flash back, who's that {Flash back}"
Chorus 22,"Flash back, who's that {Flash back}"
Chorus 23,"I'm talkin' Square Biz to you, baby"
Chorus 24,"Square, Square Biz"
Chorus 25,"Square, Square Biz"
Chorus 26,"I'm talkin' Square Biz to you, baby"
Chorus 27,"Square, Square Biz"
Chorus 28,"Flash back, who's that {Flash back}"
Chorus 29,"Flash back, who's that {Flash back}"
Chorus 30,"Flash back, who's that {Flash back}"
Chorus 31,"Flash back, who's that {Flash back}"
